Gap,Variant,NSE,R2,RMSE,MAE,Sim,Time (s)
1D,Full MLBII-LGBM,0.9058973249591844,0.9058973249591783,2.0855332328306555,1.1299609445223606,0.9800183667779809,26.77840542793274
1D,No lag-self,0.8905396688270868,0.8905396688270825,2.8216117176693847,1.5072916809422523,0.9782304865433019,22.87600350379944
1D,No snapshot,0.8264550016287331,0.8264550016287125,2.98619482234351,1.9818405186084307,0.9670311107739377,21.604747533798218
1D,No lag-other,0.9059554912200862,0.9059554912200797,2.169392479103149,1.1630316551156932,0.9795979815151226,12.659798383712769
3D,Full MLBII-LGBM,0.9241386749917327,0.9241386749917176,1.8864529725433095,1.1748402120754389,0.9803404900692374,26.79923176765442
3D,No lag-self,0.8741679617369406,0.8741679617369266,2.6074375291039362,1.6057425116857895,0.9747107418802727,22.95311689376831
3D,No snapshot,0.8172507584153484,0.8172507584153266,3.0010211165382326,2.218620880659832,0.9654102747841701,21.27511978149414
3D,No lag-other,0.9210461276802189,0.9210461276802064,1.9932852183203447,1.2208981278460331,0.9799074449226418,12.699423789978027
5D,Full MLBII-LGBM,0.8519885297503198,0.8519885297503065,3.014309276374845,1.6992600275167244,0.9742446744745142,26.255607843399048
5D,No lag-self,0.7821654470680584,0.7821654470680482,3.810114324581533,2.211511777697787,0.9691756199823847,22.99460792541504
5D,No snapshot,0.7355995392121777,0.7355995392121589,4.069890538266061,2.775386580670317,0.9591027146604177,21.104007244110107
5D,No lag-other,0.8595974358922366,0.8595974358922239,2.945279631774871,1.698611787691156,0.9746854795629567,12.4606454372406
7D,Full MLBII-LGBM,0.8497254449761895,0.8497254449761813,3.7540030056516476,1.8289621034885872,0.9750736462006973,26.12710428237915
7D,No lag-self,0.7249774228891489,0.7249774228891284,4.753035898205257,2.5425730538113,0.9675778756995647,22.695156812667847
7D,No snapshot,0.7450602389034613,0.7450602389034505,4.860344675492099,3.2273307527586153,0.9570803725551343,20.93446922302246
7D,No lag-other,0.8332847699401693,0.8332847699401611,3.9585143427394978,2.0364283227813678,0.973414876568113,16.280668020248413
