Dataset,Gap,Method,NSE,R2,RMSE,MAE,Sim,Time (s),Group
Temperature,1D,MICE-Ridge,0.9100580648204905,0.9100580648202977,1.012041883562422,0.7579472385910273,0.97213666470421,8.430485963821411,Meteorological
Temperature,1D,MICE-LGBM,0.922231047265708,0.9222310472655367,0.9290883041132229,0.6941581290256139,0.9744338490660297,82.29693055152893,Meteorological
Temperature,1D,MLBII-Ridge,0.923512925432274,0.9235129254321094,0.9276780013280196,0.6842640512821923,0.9746757664592026,80.97040700912476,Meteorological
Temperature,1D,MLBII-LGBM,0.9334078954267544,0.9334078954266087,0.8607378882511529,0.6324149589339638,0.9765878340755646,767.6976840496063,Meteorological
Temperature,3D,MICE-Ridge,0.903538383139541,0.9035383831394839,1.0431116859866554,0.7545867760796128,0.9723598482013608,7.265031337738037,Meteorological
Temperature,3D,MICE-LGBM,0.9112314160514857,0.9112314160514329,0.9963899712879449,0.7143931489793284,0.9737474889313852,80.87780094146729,Meteorological
Temperature,3D,MLBII-Ridge,0.9139251119873734,0.9139251119873224,0.9864920060225328,0.7110712615429614,0.9739480570509421,80.91459083557129,Meteorological
Temperature,3D,MLBII-LGBM,0.9206093073244844,0.9206093073244374,0.9471155123827242,0.6705614138867882,0.9753784863520001,773.1017627716064,Meteorological
Temperature,5D,MICE-Ridge,0.9014134725310217,0.9014134725309855,1.0481756237881146,0.7623777283319348,0.9718996382628713,7.473483562469482,Meteorological
Temperature,5D,MICE-LGBM,0.910087801617891,0.910087801617858,1.0039651492465875,0.7192559012325398,0.9735007478028359,80.49661421775818,Meteorological
Temperature,5D,MLBII-Ridge,0.9092518100568678,0.9092518100568349,1.0090300314068756,0.7282058437287511,0.9731792707300133,80.18072414398193,Meteorological
Temperature,5D,MLBII-LGBM,0.916593472498793,0.9165934724987618,0.9661930497557973,0.6878002153479487,0.9746504327158246,776.6215760707855,Meteorological
Temperature,7D,MICE-Ridge,0.9038002512502148,0.9038002512501883,1.0315147705491936,0.748944255107689,0.9723424964805876,7.066059827804565,Meteorological
Temperature,7D,MICE-LGBM,0.9103375740314725,0.9103375740314478,0.9955711357800902,0.7139965029845504,0.9736446399902703,81.0205569267273,Meteorological
Temperature,7D,MLBII-Ridge,0.9110421073048574,0.9110421073048331,0.9971152167096987,0.7231289259367969,0.9733549542215029,79.79736137390137,Meteorological
Temperature,7D,MLBII-LGBM,0.9176375680181849,0.917637568018162,0.9570030822899322,0.6820562878844706,0.9748232457960728,780.364964723587,Meteorological
Wind Speed,1D,MICE-Ridge,0.2671671929007634,0.2671671928933329,1.2740777986089746,0.9128814224566558,0.9552146308869152,7.142600059509277,Meteorological
Wind Speed,1D,MICE-LGBM,0.29973180355064916,0.2997318035433377,1.2292937366564822,0.8692765626114377,0.9566843096960437,65.80777382850647,Meteorological
Wind Speed,1D,MLBII-Ridge,0.3457102336411596,0.34571023363423586,1.1714246157622954,0.8298535494058761,0.9583898336573884,80.34555864334106,Meteorological
Wind Speed,1D,MLBII-LGBM,0.37360138090512707,0.3736013808984257,1.1440279428093703,0.8033065247291923,0.9595495321311482,522.127063035965,Meteorological
Wind Speed,3D,MICE-Ridge,0.29939257249552326,0.299392572493427,1.1550482751248807,0.891574980931792,0.9547898041984066,7.543778896331787,Meteorological
Wind Speed,3D,MICE-LGBM,0.32358635425180476,0.32358635424974425,1.1204294293810668,0.8548905215977503,0.9562437868545118,76.40457773208618,Meteorological
Wind Speed,3D,MLBII-Ridge,0.3615274285158599,0.361527428513886,1.0774018884457144,0.8261121896784765,0.9572448703935413,80.92012763023376,Meteorological
Wind Speed,3D,MLBII-LGBM,0.3812651786533266,0.3812651786514056,1.0552448144307756,0.803012513342665,0.9583064783387623,621.278546333313,Meteorological
