group,mode,input,feature,encoder,fusion,classifier,pretrained,frozen,best_epoch,weight_file,paper_f1,paper_precision,paper_recall,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,accuracy,binary_contact_f1,ambient_precision,ambient_recall,ambient_f1,ambient_support,leaf_precision,leaf_recall,leaf_f1,leaf_support,trunk_precision,trunk_recall,trunk_f1,trunk_support,twig_precision,twig_recall,twig_f1,twig_support
handcrafted,audio_deep_mlp_mfcc,mfcc,mfcc,handcrafted,none,mlp,False,False,21.0,/kaggle/working/outputs/variants/best_audio_deep_mlp_mfcc_model.pt,0.6722989935280052,0.7687564008007414,0.7078449053201082,0.5462984154873951,0.6660194072708769,0.5984575538071132,0.6722989935280052,0.7687564008007414,0.7078449053201082,0.7078449053201082,0.9372586872586872,0.9059205190592052,0.9876215738284704,0.9450084602368867,1131,0.39158576051779936,0.825938566552901,0.531284302963776,293,0.8648648648648649,0.13882863340563992,0.23925233644859814,461,0.5017064846416383,0.44144144144144143,0.4696485623003195,333
handcrafted,audio_deep_mlp_mfcc_fft,mfcc_fft,mfcc_fft,handcrafted,none,mlp,False,False,24.0,/kaggle/working/outputs/variants/best_audio_deep_mlp_mfcc_fft_model.pt,0.6734119352372069,0.7548946457231382,0.7033363390441839,0.5444715293696183,0.6493661294127941,0.5777298150584422,0.6734119352372069,0.7548946457231382,0.7033363390441839,0.7033363390441839,0.9315068493150684,0.8929421094369548,0.995579133510168,0.9414715719063546,1131,0.3836734693877551,0.6416382252559727,0.48020434227330777,293,0.8764044943820225,0.16919739696312364,0.28363636363636363,461,0.4444444444444444,0.5045045045045045,0.47257383966244726,333
handcrafted,audio_deep_mlp_stft,stft,stft,handcrafted,none,mlp,False,False,7.0,/kaggle/working/outputs/variants/best_audio_deep_mlp_stft_model.pt,0.6829926074974512,0.688931702108768,0.6992786293958522,0.5441655107874119,0.5625400552577914,0.5517385838452965,0.6829926074974512,0.688931702108768,0.6992786293958522,0.6992786293958522,0.9426070038910506,0.9055244195356285,1.0,0.9504201680672268,1131,0.38636363636363635,0.4641638225255973,0.42170542635658914,293,0.559322033898305,0.28633405639913234,0.3787661406025825,461,0.3989501312335958,0.45645645645645644,0.4257703081232493,333
handcrafted,audio_ml_xgboost_mfcc_fft,mfcc_fft,mfcc_fft,handcrafted,none,xgboost,False,False,,,0.6327659848667864,0.665992848442975,0.6753832281334535,0.4998679066400375,0.5675482324056533,0.5195258779987038,0.6327659848667864,0.665992848442975,0.6753832281334535,0.6753832281334535,0.8694747789911597,0.8183791606367583,1.0,0.9001193792280143,1131,0.3836734693877551,0.32081911262798635,0.34944237918215615,293,0.6521739130434783,0.16268980477223427,0.2604166666666667,461,0.41596638655462187,0.5945945945945946,0.4894932014833127,333
handcrafted,audio_ml_xgboost_mfcc,mfcc,mfcc,handcrafted,none,xgboost,False,False,,,0.6253546210122896,0.6611594315168008,0.6686203787195671,0.4895940690132723,0.5527984668615439,0.517988907388624,0.6253546210122896,0.6611594315168008,0.6686203787195671,0.6686203787195671,0.8863868986693961,0.8364174685418209,0.9991158267020336,0.9105560032232071,1131,0.375,0.4812286689419795,0.42152466367713004,293,0.6067415730337079,0.11713665943600868,0.19636363636363635,461,0.39303482587064675,0.4744744744744745,0.42993197278911566,333
handcrafted,audio_ml_xgboost_fft,fft,fft,handcrafted,none,xgboost,False,False,,,0.628879394838192,0.6434409067938077,0.6717763751127142,0.4834263823972553,0.5387979422957747,0.4999650589119834,0.628879394838192,0.6434409067938077,0.6717763751127142,0.6717763751127142,0.8589407446250655,0.8082975679542204,0.9991158267020336,0.8936338473705022,1131,0.3387096774193548,0.14334470989761092,0.2014388489208633,293,0.609375,0.25379609544468545,0.35834609494640124,461,0.39880952380952384,0.6036036036036037,0.48028673835125446,333
handcrafted,audio_deep_mlp_fft,fft,fft,handcrafted,none,mlp,False,False,7.0,/kaggle/working/outputs/variants/best_audio_deep_mlp_fft_model.pt,0.6215812276914319,0.6239267547260702,0.6812443642921551,0.4745696459934532,0.5325157593556583,0.49975280851937076,0.6215812276914319,0.6239267547260702,0.6812443642921551,0.6812443642921551,0.7960199004975125,0.7546791443850267,0.9982316534040672,0.8595355919299581,1131,0.2631578947368421,0.017064846416382253,0.03205128205128205,293,0.6472727272727272,0.38611713665943603,0.483695652173913,461,0.4649532710280374,0.5975975975975976,0.5229960578186597,333
handcrafted,audio_ml_random_forest_fft,fft,fft,handcrafted,none,random_forest,False,False,,,0.5987785061144082,0.6342684574871521,0.654643823264202,0.46473483729663567,0.541868362792478,0.49053428931078746,0.5987785061144082,0.6342684574871521,0.654643823264202,0.654643823264202,0.8294782140935987,0.7814661134163209,0.9991158267020336,0.8769887466045789,1131,0.38427947598253276,0.3003412969283277,0.3371647509578544,293,0.6,0.10412147505422993,0.17744916820702403,461,0.4017278617710583,0.5585585585585585,0.46733668341708545,333
handcrafted,audio_ml_random_forest_mfcc_fft,mfcc_fft,mfcc_fft,handcrafted,none,random_forest,False,False,,,0.5942266709551992,0.631927881065565,0.6573489630297565,0.4618399103798262,0.5367839560637317,0.5013670813396733,0.5942266709551992,0.631927881065565,0.6573489630297565,0.6573489630297565,0.8400852878464818,0.7907627711686495,0.9991158267020336,0.8828125,1131,0.3804347826086957,0.3583617747440273,0.36906854130052724,293,0.5531914893617021,0.05639913232104121,0.10236220472440945,461,0.4227467811158798,0.5915915915915916,0.493116395494368,333
handcrafted,audio_ml_xgboost_stft,stft,stft,handcrafted,none,xgboost,False,False,,,0.6127107760548206,0.6670042098699079,0.6555455365193869,0.4615348342174095,0.5416482037699143,0.4985490743321056,0.6127107760548206,0.6670042098699079,0.6555455365193869,0.6555455365193869,0.9067331670822942,0.8630769230769231,0.9920424403183024,0.9230769230769231,1131,0.30625,0.33447098976109213,0.3197389885807504,293,0.6363636363636364,0.0911062906724512,0.15939278937381404,461,0.3609022556390977,0.5765765765765766,0.4439306358381503,333
